model,dataset,accuracy,f1_score,precision,recall
SVM,google_word2vec_review_vector_tokenized,0.8426222222222223,0.8426161617785414,0.8426533691296939,0.8426222222222223
SVM,google_word2vec_review_vector_no_stopwords,0.8406444444444444,0.8406436412123695,0.8406676876354992,0.8406444444444444
SVM,google_word2vec_review_vector_stemmed_no_sw,0.8021555555555555,0.8021331727115989,0.8023410449435235,0.8021555555555555
SVM,google_word2vec_review_vector_stemmed,0.8018444444444445,0.801835954926133,0.801874235340604,0.8018444444444445
SVM,google_word2vec_review_vector_lemmatized,0.8374444444444444,0.8374355337065745,0.8374919441481493,0.8374444444444444
SVM,google_word2vec_review_vector_lemmatized_no_sw,0.8361555555555555,0.8361541869438687,0.8361855233342403,0.8361555555555555
SVM,self_trained_word2vec_review_vector_tokenized,0.8752444444444445,0.875243681986034,0.8752715540438489,0.8752444444444445
SVM,self_trained_word2vec_review_vector_no_stopwords,0.8780888888888889,0.8780859822457054,0.8781530309919355,0.8780888888888889
SVM,self_trained_word2vec_review_vector_stemmed_no_sw,0.8493555555555555,0.8493511476552259,0.8494258112194922,0.8493555555555555
SVM,self_trained_word2vec_review_vector_stemmed,0.8474,0.8473962583434154,0.8474614609882198,0.8474
SVM,self_trained_word2vec_review_vector_lemmatized,0.8713777777777778,0.8713751024034034,0.8714351714368255,0.8713777777777778
SVM,self_trained_word2vec_review_vector_lemmatized_no_sw,0.8741111111111111,0.8741068478911811,0.8741937847224241,0.8741111111111111
SVM,roberta_review_vector_tokenized,0.8168888888888889,0.816331866101611,0.821016976273289,0.8168888888888889
SVM,roberta_review_vector_no_stopwords,0.8002222222222222,0.8002159247051481,0.8002885567157327,0.8002222222222222
SVM,roberta_review_vector_stemmed_no_sw,0.7476,0.7470719707075706,0.7498647303562571,0.7476
SVM,roberta_review_vector_stemmed,0.7871555555555556,0.7860476528684784,0.7935286843750777,0.7871555555555556
SVM,roberta_review_vector_lemmatized,0.8067555555555556,0.8060634749891837,0.8114514506447889,0.8067555555555556
SVM,roberta_review_vector_lemmatized_no_sw,0.7960666666666667,0.7960669793651795,0.7960688841961864,0.7960666666666667
RF,google_word2vec_review_vector_tokenized,0.7744222222222222,0.7743835382417612,0.7746671951947918,0.7744222222222222
RF,google_word2vec_review_vector_no_stopwords,0.7809111111111111,0.780863464670341,0.7812192709976624,0.7809111111111111
RF,google_word2vec_review_vector_stemmed_no_sw,0.745,0.7447900473827255,0.7459224667665474,0.745
RF,google_word2vec_review_vector_stemmed,0.7368666666666667,0.7367951443906681,0.737190947693872,0.7368666666666667
RF,google_word2vec_review_vector_lemmatized,0.771,0.770968837319427,0.7711983887162467,0.771
RF,google_word2vec_review_vector_lemmatized_no_sw,0.7765555555555556,0.7765018350531033,0.7768879687335232,0.7765555555555556
RF,self_trained_word2vec_review_vector_tokenized,0.8164666666666667,0.8164212631041872,0.8168506495178707,0.8164666666666667
RF,self_trained_word2vec_review_vector_no_stopwords,0.8199555555555555,0.8198620241302902,0.8207217746863403,0.8199555555555555
RF,self_trained_word2vec_review_vector_stemmed_no_sw,0.7850888888888888,0.7849124920948614,0.7861467236520085,0.7850888888888888
RF,self_trained_word2vec_review_vector_stemmed,0.7803777777777777,0.7802793840423284,0.7809699261394535,0.7803777777777777
RF,self_trained_word2vec_review_vector_lemmatized,0.8110888888888889,0.8110613776636485,0.8113252903874946,0.8110888888888889
RF,self_trained_word2vec_review_vector_lemmatized_no_sw,0.8125555555555556,0.8124636208316564,0.8132663943054363,0.8125555555555556
RF,roberta_review_vector_tokenized,0.8261777777777778,0.8260598769736968,0.8271793365130056,0.8261777777777778
RF,roberta_review_vector_no_stopwords,0.8151555555555555,0.8151032540310121,0.8155875448162079,0.8151555555555555
RF,roberta_review_vector_stemmed_no_sw,0.7779333333333334,0.777848738651606,0.778439544136255,0.7779333333333334
RF,roberta_review_vector_stemmed,0.8095555555555556,0.8095331861745588,0.8097510254188491,0.8095555555555556
RF,roberta_review_vector_lemmatized,0.8265333333333333,0.8264715555124796,0.8270836374315291,0.8265333333333333
RF,roberta_review_vector_lemmatized_no_sw,0.8098888888888889,0.8098197367423683,0.8104240293638535,0.8098888888888889
ANN,google_word2vec_review_vector_tokenized,0.8420444444444445,0.8420336104156989,0.8421079570741024,0.8420444444444445
ANN,google_word2vec_review_vector_no_stopwords,0.8370222222222222,0.8370001288785858,0.8372601179769658,0.8370222222222222
ANN,google_word2vec_review_vector_stemmed_no_sw,0.7994666666666667,0.7994295275303752,0.7997491801237576,0.7994666666666667
ANN,google_word2vec_review_vector_stemmed,0.7960888888888888,0.7959774947077676,0.7966474425737339,0.7960888888888888
ANN,google_word2vec_review_vector_lemmatized,0.8313555555555555,0.8312754733778583,0.8318990586310097,0.8313555555555555
ANN,google_word2vec_review_vector_lemmatized_no_sw,0.8291333333333334,0.8287893372217591,0.8319955353626671,0.8291333333333334
ANN,self_trained_word2vec_review_vector_tokenized,0.8784666666666666,0.8784545985131049,0.8785779489858561,0.8784666666666666
ANN,self_trained_word2vec_review_vector_no_stopwords,0.8774444444444445,0.8774440358650316,0.8774649888063633,0.8774444444444445
ANN,self_trained_word2vec_review_vector_stemmed_no_sw,0.8486,0.8485956444612868,0.8486692639289062,0.8486
ANN,self_trained_word2vec_review_vector_stemmed,0.8457333333333333,0.8456080689504235,0.8467418134529677,0.8457333333333333
ANN,self_trained_word2vec_review_vector_lemmatized,0.8747555555555555,0.8747387065244586,0.8749111749779818,0.8747555555555555
ANN,self_trained_word2vec_review_vector_lemmatized_no_sw,0.8749333333333333,0.8749334400573745,0.8749338267605936,0.8749333333333333
ANN,roberta_review_vector_tokenized,0.8889777777777778,0.888975229440439,0.8890415228492309,0.8889777777777778
ANN,roberta_review_vector_no_stopwords,0.8670444444444444,0.8670376797523348,0.8671565547651968,0.8670444444444444
ANN,roberta_review_vector_stemmed_no_sw,0.8297777777777777,0.8296343441956242,0.8310200628266078,0.8297777777777777
ANN,roberta_review_vector_stemmed,0.8680222222222223,0.8679975368235632,0.8682428411418475,0.8680222222222223
ANN,roberta_review_vector_lemmatized,0.8866666666666667,0.8866573939150498,0.8868399838753902,0.8866666666666667
ANN,roberta_review_vector_lemmatized_no_sw,0.8596222222222222,0.8595755896487713,0.8600263937466316,0.8596222222222222
